Year,Title,Country,Director,Studio,Animation technique,Notes,Release date,Duration
2023,Spy × Family Code: White,Japan,Takashi Katagiri,Wit Studio CloverWorks,Traditional,[ 326 ] [ 327 ] [ 328 ] [ 329 ] [ 330 ] [ 331 ],"December 22, 2023",110 minutes [ 332 ]
2023,Strays,United States,Josh Greenbaum,Universal Pictures Picturestart Rabbit Hole Productions Lord Miller Productions,CG animation Live-action,[ 333 ] [ 334 ] [ 335 ],"August 18, 2023",93 minutes [ 336 ]
2023,Sultana's Dream,Spain Germany,Isabel Herguera,Sultana Films Gatoverde Producciones Abano Producións Uniko Estudio Creativo Fabian & Fred,Oil-painted Traditional,[ 337 ],"September 24, 2023 ( San Sebastián ) [ 338 ] November 17, 2023 (Spain) [ 337 ]",86 minutes
2023,The Super Mario Bros. Movie,United States Japan,Aaron Horvath Michael Jelenic,Universal Pictures Illumination Nintendo,CG animation,[ 339 ] [ 340 ] [ 341 ],"April 1, 2023 (Los Angeles) April 5, 2023 (United States) April 28, 2023 (Japan)",92 minutes [ 342 ]
2023,The Swan Princess: A Fairytale is Born,United States,Richard Rich,Sony Pictures Home Entertainment Crest Animation Productions,CG animation,[ 343 ],"May 23, 2023",86 minutes
2023,The Swan Princess: Far Longer than Forever,United States,Richard Rich,Sony Pictures Home Entertainment Crest Animation Productions,CG animation,[ 344 ],"September 19, 2023 (Digital) [ 345 ] October 24, 2023 (DVD)",86 minutes
2023,Taz: Quest for Burger,United States,Ryan Kramer,Warner Bros. Animation,Flash animation,[ 346 ],"June 6, 2023 (Digital) [ 347 ] [ 346 ] June 20, 2023 (DVD)",75 minutes
2023,Teenage Mutant Ninja Turtles: Mutant Mayhem,United States,Jeff Rowe,Paramount Pictures Nickelodeon Movies Point Grey Pictures,CG animation Traditional,[ 348 ] [ 349 ],"June 12, 2023 ( Annecy ) August 2, 2023 (United States)",99 minutes [ 350 ]
2023,They Shot the Piano Player,Spain France Netherlands,Fernando Trueba Javier Mariscal,Fernando Trueba PC Les Films D’ici Submarine Animanostra,Traditional,[ 351 ] [ 352 ] [ 353 ],"September 6, 2023 ( Telluride ) October 6, 2023 (Spain)",103 minutes [ 354 ]
2023,Toopy and Binoo: The Movie,Canada,Dominique Jolin Reymond Lebrun,Corus Entertainment Echo Media,Flash animation,[ 355 ],"August 11, 2023",80 minutes
2023,"Tony, Shelly and the Magic Light",Czech Republic Hungary Slovakia,Filip Posivac,Nutprodukce Nutprodukcia Czech Television Radio and Television of Slovakia Kouzelná animace Filmfabriq [ 356 ],Stop Motion,[ 357 ] [ 358 ],"June 1, 2023 ( Zlín Festival ) [ 359 ] June 13, 2023 ( Annecy ) November 2, 2023 (Czech Republic) November 9, 2023 (Slovakia) November 21, 2023 (Hungary)",82 minutes
2023,Totto-Chan: The Little Girl at the Window,Japan,Shinnosuke Yakuwa,Shin-Ei Animation,Traditional,[ 360 ] [ 361 ],"December 8, 2023",114 minutes [ 362 ]
2023,Transformers: Rise of the Beasts,United States,Steven Caple Jr.,Paramount Pictures Skydance Hasbro New Republic Pictures Di Bonaventura Pictures Bay Films,CG animation Live-action,[ 363 ] [ 364 ] [ 365 ] [ 366 ] [ 367 ] [ 368 ] [ 369 ],"May 27, 2023 ( Marina Bay Sands ) June 9, 2023 (United States)",127 minutes [ 370 ]
2023,Trolls Band Together,United States,Walt Dohrn,Universal Pictures DreamWorks Animation,CG animation,[ 371 ] [ 372 ] [ 373 ],"October 12, 2023 (Denmark) November 17, 2023 (United States)",92 minutes [ 374 ]
2023,Under the Boardwalk,United States,David Soren,Paramount Animation DNEG Animation Big Kid Pictures,CG animation,[ 375 ] [ 376 ] [ 377 ] [ 378 ] [ 379 ] [ 380 ],"October 27, 2023 (United States) February 9, 2024 (Australia)",83 minutes [ 381 ]
2023,Urkel Saves Santa: The Movie!,United States,Jojo Ramos Patrick Bryan Newton Richard Pose,Warner Bros. Animation,Traditional Flash animation,[ 382 ] [ 383 ],"November 21, 2023",86 minutes
2023,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,United States,Jackson Publick,"Williams Street Astro-Base GO! Titmouse, Inc.",Traditional,[ 191 ] [ 384 ],"July 21, 2023 (Digital) July 25, 2023 (Blu-ray)",84 minutes
2023,When Adam Changes,Canada,Joël Vaudreuil,Parce Que Films,Traditional,[ 385 ] [ 386 ] [ 387 ] [ 388 ],"June 12, 2023 ( Annecy )",96 minutes
2023,"Who are you, Mamma Moo?",Sweden,Christian Ryltenius,SF Studios,Traditional,[ 389 ] [ 390 ],"August 25, 2023",66 minutes
2023,White Plastic Sky Műanyag égbolt [ 391 ],Hungary Slovakia,Tibor Bánóczki Sarolta Szabó,Salto Film Artichoke,Rotoscope Traditional CG animation,[ 392 ] [ 393 ] [ 394 ],"February 17, 2023 ( Berlin ) March 30, 2023 (Hungary)",111 minutes
2023,Wish,United States,Chris Buck Fawn Veerasunthorn,Walt Disney Animation Studios,Traditional CG animation,[ 395 ],"November 18, 2023 ( El Capitan Theatre ) November 23, 2023 (United States)",92 minutes [ 396 ]
2023,Yaga and the Book of Spells,Russia,Vladimir Sakov,Art Pictures Studio Gluk'oza Animation,CG animation,[ 397 ],"April 22, 2023 ( Moscow Film Festival ) April 27, 2023 (Russia)",101 minutes
