Year,Title,Country,Director,Studio,Animation technique,Notes,Type,Release date,Duration
2017,Tall Tales Drôles de petites bêtes [ citation needed ],France Belgium,Antoon Krings Arnaud Bouron,Onyx Films,CGI animation,[ 203 ],,"June 13, 2017 (Annecy International Animation Film Festival) December 13, 2017 (France)",80 minutes
2017,Tea Pets [ citation needed ],China,Gary Wang,Light Chaser Animation Studios,CGI animation,[ 204 ],,"May 20, 2017 (Seattle International Film Festival) July 21, 2017 (Shanghai International Film Festival)",98 minutes 86 minutes (South Korea)
2017,Teen Titans: The Judas Contract,United States,Sam Liu,Warner Bros. Animation DC Entertainment,Traditional,[ 13 ],,"March 31, 2017 ( WonderCon ) April 4, 2017 (United States)",84 minutes
2017,Tehran Taboo [ citation needed ],Austria Germany,Ali Soozandeh,Little Dream Entertainment Coop99 Filmproduktion Österreichischer Rundfunk,Traditional,[ 205 ],,"May 20, 2017 ( Cannes ) November 16, 2017 (Germany)",96 minutes
2017,T-Guardians,China South Korea,Yan Huang Yu Shen,,CGI animation,,,"August 4, 2017",89 minutes
2017,Three Heroes and the King of the Sea Три богатыря и морской царь,Russia,Konstantin Feoktistov,Melnitsa Animation Studio,Traditional,[ 206 ],,"January 1, 2017",75 minutes
2017,Three Heroes and the Princess of Egypt Три богатыря и принцесса Египта,Russia,Konstantin Feoktistov,Melnitsa Animation Studio,Traditional,[ 207 ],,"December 28, 2017",75 minutes
2017,Tofu,China,Joey Zou,Kingkey Animation Studios,CGI animation,,,"July 28, 2017",81 minutes
2017,Tom and Jerry: Willy Wonka and the Chocolate Factory,United States,Spike Brandt,Warner Bros. Animation,Traditional,,,"June 27, 2017 (Digital) July 11, 2017 (DVD) [ 208 ]",79 minutes [ 209 ]
2017,Trinity Seven the Movie: The Eternal Library and the Alchemist Girl,Japan,Hiroshi Nishikiori,Seven Arcs Pictures,Traditional,[ 210 ],,"February 25, 2017",55 minutes
2017,Virus Tropical [ citation needed ],Colombia Ecuador,Santiago Caicedo,Ikki Films,Flash animation,[ 211 ],,"October 21, 2017 (Animation Is Film Festival) May 17, 2018 (Colombia)",97 minutes
2017,Wall [ citation needed ],Canada,Cam Christiansen,National Film Board of Canada,Traditional/CGI animation,[ 212 ],,"September 25, 2017 ( CIFF )",82 minutes
2017,Where It Floods [ citation needed ],United States,Joel Benjamin,Electricbeard Productions,CGI animation,[ 213 ],,"May 2, 2017 (Midwest Independent Film Festival) (premiere)",47 minutes
2017,Yowamushi Pedal: Re:GENERATION,Japan,Osamu Nabeshima,TMS/8PAN,Traditional,,,"October 13, 2017",90 minutes
2017,Zombillenium [ citation needed ],France Belgium,Arthur de Pins Alexis Ducord,Maybe Movies,CGI animation,[ 214 ],,"May 24, 2017 ( Cannes )",78 minutes
